city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Wilson/Niagara County,Wilson Community Library,"265 Young Street, Wilson, NY 14172",716-751-6070,Mon - Tues: 10:00 AM - 8:00 PM; Wed: 2:00 PM - 8:00 PM; Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 1:00 PM,"43.3093132, -78.827101"
Youngstown/Niagara County,Youngstown Free Library,"240 Lockport Street, Youngstown, NY 14174",716-745-3555,Mon: 2:00 PM - 8:30 PM; Tues: 9:30 AM - 8:30 PM; Wed: 2:00 PM - 8:30 PM; Thurs: 2:00 PM - 6:00 PM; Fri: 10:00 AM - 2:00 PM; Sat: 10:00 AM - 2:00 PM,"43.250697, -79.046837"
Whitesboro/Oneida County,Dunham Public Library,"76 Main St., Whitesboro, NY 13492",315-736-9734,Mon-Wed: 9:30 AM - 8:00 PM; Thurs-Sat: 9:30 AM - 5:30 PM; Sun: Closed,"43.12107959999999, -75.28919259999999"
Rome/Oneida County,Jervis Public Library,"613 N. Washington St., Rome, NY 13440",315-336-4570,Call for operating hours,"43.2186817, -75.45406249999999"
Clinton/Oneida County,Kirkland Town Library,"55 1/2 College Street, Clinton, NY 13323",315-853-2038,Mon-Thurs: 9:00 AM - 8:30 PM; Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 1:00 PM,"43.0478268, -75.3842846"
Utica/Oneida County,North Utica Senior Citizens,"50 Riverside Dr, Utica, NY 13502",315-724-2430,Call for operating hours,"43.1181528, -75.21379639999999"
Utica/Oneida County,Parkway Senior Center,"220 Memorial Pkwy, Utica, NY 13501",315-223-3073,Call for operating hours,"43.0846738, -75.2495958"
New Hartford/Oneida County,Sangertown Mall,"8555 Seneca Turnpike, New Hartford, NY 13413",315-797-8520,Call for operating hours,"43.08266649999999, -75.3153623"
Sherrill/Oneida County,Sherrill-Kenwood Free Library,"543 Sherrill Road, Sherrill, NY 13461",315-363-5980,Mon-Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 4:00 PM; Sat: 10:00 AM - 1:00 PM; Sun: Closed,"43.0695617, -75.6015991"
Rome/Oneida County,South Rome Senior Center,"112 Ridge St, Rome, NY 13440",315-339-6457,Call for operating hours,"43.2082315, -75.46187929999999"
Utica/Oneida County,Utica Public Library,"303 Genesee St, Utica NY, NY 13501",315-735-2279,Call for operating hours,"43.0966226, -75.2387882"
Baldwinsville/Onondaga County,Baldwinsville Public Library,"33 E Genesee St, Baldwinsville, NY 13027",315-635-5631,Call for operating hours,"43.1592013, -76.3294465"
Syracuse/Onondaga County,Beauchamp Branch Library,"2111 S Salina St, Colvin, NY 13205",315-435-3395,Call for operating hours,"43.025969, -76.1450089"
Syracuse/Onondaga County,Betts Branch Library,"4862 S Salina St, Syracuse, NY 13205",315-435-1940,Call for operating hours,"42.9988174, -76.14356049999999"
Camillus/Onondaga County,Camillus Senior Center,"25-1/2 First St, Camillus, NY 13031",315-672-5820,Mon-Fri: 9:00 AM-3:30 PM,"43.0394137, -76.3044791"
Syracuse/Onondaga County,Central Library-The Galleries of Syracuse,"447 S Salina St, Syracuse, NY 13202",315-435-1900,Call for operating hours,"43.04607290000001, -76.1514088"
Cicero/Onondaga County,Cicero Senior Center,"5924 Lathrop Dr, Cicero, NY 13039",315-452-3298,Mon-Fri: 10:00 AM - 4:00 PM,"43.1458467, -76.11208830000001"
Syracuse/Onondaga County,DestiNY USA,"9090 Destiny USA Drive, Syracuse 13204, NY Syracuse 13204",315-466-6000,Mon-Thu: 10:00 AM-8:00 PM; Fri-Sat: 10:00 AM-9:00 PM; Sun: 11:00 AM-6:00 PM,"43.0675599, -76.1709295"
Jamesville/Onondaga County,Dewitt Community Library,"5110 Jamesville Road, Jamesville, NY 13078",315-446-3578,Call for operating hours,"43.0200398, -76.07220339999999"
East Syracuse/Onondaga County,Dewitt Town Hall,"5400 Butternut Dr, De Witt, NY 13057",315-446-3910,Mon-Fri: 8:00 AM-4:30 PM,"43.0466482, -76.04956899999999"
Syracuse/Onondaga County,Dunbar Center,"1453 S State St, Syracuse, NY 13205",315-760-3155,Call for operating hours,"43.031862, -76.1459021"
East Syracuse/Onondaga County,East Syracuse Free Library,"4990 James St, East Syracuse, NY 13057",315-437-4841,Call for operating hours,"43.0697202, -76.0731792"
Elbridge/Onondaga County,Elbridge Free Library,"241 E Main St, Elbridge, NY 13060",315-689-7111,Call for operating hours,"43.03653, -76.4380709"
Syracuse/Onondaga County,Fairmount Community Library,"406 Chapel Dr, Syracuse, NY 13219",315-487-8933,Call for operating hours,"43.0442884, -76.24687639999999"
Fayetteville/Onondaga County,Fayetteville Free Library,"300 Orchard St, Fayetteville, NY 13066",315-637-6374,Call for operating hours,"43.02556060000001, -76.0069154"
Fayetteville/Onondaga County,Fayetteville Senior Center,"584 E Genesee St, Fayetteville, NY 13066",315-637-9025,Mon-Thu: 10:00 AM-3:00 PM; Fri: 11:00 AM-4:00 PM,"43.0307922, -75.995819"
Syracuse/Onondaga County,Hazard Branch Library,"1620 W Genesee St, Syracuse, NY 13204",315-435-5326,Call for operating hours,"43.0527753, -76.1874093"
Syracuse/Onondaga County,Jewish Community Center,"5655 Thompson Rd, Syracuse, NY 13214",315-445-2360,Call for operating hours,"43.0443798, -76.07364679999999"
Jordan/Onondaga County,Jordan Bramley Library,"15 Mechanic St, Jordan, NY 13080",315-689-3296,Call for operating hours,"43.0657501, -76.4710594"
Jordan/Onondaga County,Jordan Elbridge Community Center,"1 Route 31, Jordan, NY 13080",315-689-9031,Call for operating hours,"43.0673082, -76.4819404"
LaFayette/Onondaga County,Lafayette Public Library,"2577 Route 11, La Fayette, NY 13084",315-677-3782,Call for operating hours,"42.8967112, -76.1072428"
Salina/Onondaga County,Liverpool Public Library,"310 Tulip St, Liverpool, NY 13088",315-457-0310,Call for operating hours,"43.1027768, -76.2078667"
Syracuse/Onondaga County,Magnarelli Community Center,"2300 Grant Blvd, Syracuse, NY 13208",315-473-2673,Mon-Fri: 3:00 PM-7:00 PM; Sun 12:00 PM-8:00 PM,"43.0741705, -76.1458328"
Manlius/Onondaga County,Manlius Library,"1 Arkie Albanese Way, Manlius, NY 13104",315-682-6400,Call for operating hours,"43.0040529, -75.98438639999999"
Manlius/Onondaga County,Manlius Senior Center,"1 Arkie Albanese Way, Manlius, NY 13104",315-682-7889,Mon-Fri: 9:00 AM-3:00 PM,"43.0035625, -75.9848762"
Marcellus/Onondaga County,Marcellus Free Library,"32 Maple St, Marcellus, NY 13108",315-673-3221,Call for operating hours,"42.985626, -76.3365446"
Camillus/Onondaga County,Maxwell Memorial Library,"14 Genesee St, Camillus, NY 13031",315-672-3661,Call for operating hours,"43.0394252, -76.3063446"
Minoa/Onondaga County,Minoa Library,"242 N Main St, Minoa, NY 13116",315-656-7401,Call for operating hours,"43.077293, -76.00065359999999"
Syracuse/Onondaga County,Mundy Branch Library,"1204 S Geddes St, Syracuse, NY 13204",315-435-3797,Call for operating hours,"43.0357099, -76.1746869"
Brewerton/Onondaga County,NOPL at Brewerton,"5437 Library St, Brewerton, NY 13029",315-676-7484,Call for operating hours,"43.2389322, -76.14236850000002"
Cicero/Onondaga County,NOPL at Cicero,"8686 Knowledge Ln, Clay, NY 13039",315-699-2032,Call for operating hours,"43.1905868, -76.1271968"
North Syracuse/Onondaga County,NOPL at North Syracuse,"100 Trolley Barn Ln, Syracuse, NY 13212",315-458-6184,Call for operating hours,"43.1362728, -76.1256295"
Syracuse/Onondaga County,Northeast Community Center,"716 Hawley Ave, Syracuse, NY 13203",315-472-6343,Mon-Fri: 9:00 AM-5:00 PM,"43.0547644, -76.1324483"
Syracuse/Onondaga County,Onondaga Free Library,"4840 W Seneca Tpke, Syracuse, NY 13215",315-492-1727,Call for operating hours,"43.0046519, -76.18126339999999"
Syracuse/Onondaga County,Onondaga Senior Center,"4834 Velasko Rd, Syracuse, NY 13215",315-469-3464,Call for operating hours,"43.0059822, -76.1845192"
Syracuse/Onondaga County,Paine Branch Library,"113 Nichols Ave, Syracuse, NY 13206",315-435-5442,Call for operating hours,"43.0684532, -76.1035999"
Syracuse/Onondaga County,Petit Branch Library,"105 Victoria Pl, Syracuse, NY 13210",315-435-3636,Call for operating hours,"43.0409178, -76.1186378"
Syracuse/Onondaga County,Robert Cecile Community Center,"174 W Seneca Tpke, Colvin, NY 13205",315-473-2678,Mon-Fri: 8:00 AM - 4:00 PM,"43.0015821, -76.1463042"
Salina/Onondaga County,Salina Library,"100 Belmont St, Syracuse, NY 13211",315-454-4524,Call for operating hours,"43.10007299999999, -76.150205"
Syracuse/Onondaga County,Salvation Army Senior Center,"749 S Warren St, Syracuse, NY 13202",315-479-1313,Mon-Fri: 8:00 AM - 3:00 PM,"43.0416462, -76.15043059999999"
Skaneateles/Onondaga County,Skaneateles Library,"49 E Genesee St, Skaneateles, NY 13152",315-685-5135,Call for operating hours,"42.9458475, -76.4274733"
Solvay/Onondaga County,Solvay Public Library,"615 Woods Rd, Syracuse, NY 13209",315-468-2441,Call for operating hours,"43.05761940000001, -76.2070554"
Syracuse/Onondaga County,Soule Branch Library,"101 Springfield Rd, Syracuse, NY 13214",315-435-5320,Call for operating hours,"43.04815259999999, -76.09397"
Syracuse/Onondaga County,Syracuse Model Neighborhood Facility at Southwest Community Center,"401 South Avenue, Syracuse, NY 13204",315-474-6823,Call for operating hours,"43.035014, -76.158357"
Tully/Onondaga County,Tully Free Library,"12 State St, Tully, NY 13159",315-696-8606,Call for operating hours,"42.7972328, -76.1102046"
Syracuse/Onondaga County,Westcott Community Center,"826 Euclid Ave, Syracuse, NY 13210",315-478-8634,Mon-Fri: 9:00 AM-4:30 PM,"43.0365674, -76.11922729999999"
Syracuse/Onondaga County,White Branch Library,"763 Butternut St, Syracuse, NY 13208",315-435-3519,Call for operating hours,"43.0616055, -76.14544699999999"
Bloomfield/Ontario County,Bloomfield Public Library,"9 Church St, Bloomfield, NY 14469",585-657-6264,Mon-Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.8995915, -77.43197099999999"
Clifton Springs/Ontario County,Clifton Springs Library,"4 Railroad Avenue, Clifton Springs, NY 14432",(315) 462-7371,Mon-Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"42.9633625, -77.13696190000002"
Geneva/Ontario County,Geneva Public Library,"244 Main St, Geneva, NY 14456, NY 14456",(315) 789-5303,Mon - Fri: 8:30 AM - 7:00 PM; Sat: 9:00 AM - 2:00 PM,"42.868458, -76.986235"
Gorham/Ontario County,Gorham Free Library,"2664 Main Street, Gorham, NY 14561, NY 14561",585-526-6655,Mon: 12:00 PM - 6:00 PM; Tues: 2:00 PM - 8:00 PM; Wed: 9:00 AM - 5:00 PM; Thurs: 2:00 PM - 8:00 PM; Fri: 12:00 PM - 6:00 PM; Sat: 9:00 AM - 1:00 PM; Sun: 2:00 PM - 4:00 PM,"42.7989927, -77.1352618"
Honeoye/Ontario County,Honeoye Public Library,"8708 Main St, Honeoye, NY 14471",(585) 229-5020,Mon: 12:00 PM - 6:00 PM; Tues & Thurs: 2:00 PM - 8:00 PM; Wed: 10:00 AM - 4:00 PM; Sat: 9:00 AM - 1:00 PM; Fri & Sun: closed,"42.79018, -77.51457599999999"
Naples/Ontario County,Naples Library,"118 S Main St, Naples, NY 14512",(585) 374-2757,"Mon, Wed, Fri: 10:00 AM - 6:00 PM; Tues & Thurs: 10:00 AM - 7:00 PM; Sat: 10:00 AM - 2:00 PM","42.6147988, -77.4026375"
Phelps/Ontario County,Phelps Library,"8 Banta St, Phelps, NY 14532",(315) 548-3120,Mon-Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 1:00 PM (Seasonal),"42.960083, -77.0607833"
Canandaigua/Ontario County,The Bristol Library,"6750 County Road 32, Canandaigua, NY 14424",(585) 229-5862,"Mon, Wed, Thurs: 3:00 PM - 7:00 PM; Tues, Sat: 10:00 AM - 2:00 PM","42.809713, -77.39515500000002"
Victor/Ontario County,Victor Farmington Library,"15 W Main St, Victor, NY 14564",(585) 924-2637,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 10:00 AM - 4:00 PM; Sun: 12:00 PM - 4:00 PM,"42.9820098, -77.411191"
Canandaigua/Ontario County,Wood Library,"134 N Main St, Canandaigua, NY 14424",(585) 394-1381,Mon-Thurs: 9:00 AM - 9:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 4:00 PM,"42.8915467, -77.28537589999999"
Warwick/Orange County,Albert Wisner Library,"1 McFarland Dr, Warwick, NY 10990",,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 12:00 PM - 4:00 PM,"41.253412, -74.34761499999999"
Montgomery/Orange County,Goodwill Church,"2135 State Route 208, Montgomery, NY 12549",845-457-5959,Sun - Fri: 8:30 AM - 4:00 PM; Sat: Closed,"41.520084, -74.205472"
Washingtonville/Orange County,Grace Community Church,"2839 State Route 94, Washingtonville, NY 10992",845-496-4372,Mon - Thurs: 9:00 AM - 3:00 PM; Fri: Closed; Sat: 4:30 PM - 6:30 PM; Sun: 7:00 AM - 1:00 PM,"41.410009, -74.189087"
Middletown/Orange County,Middletown Thrall Library,"11-19 Depot St, Middletown, NY 10940",845-341-5454,Sept - June: Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 12:00 PM - 4:00 PM; Mid June- Labor Day: Sun: Closed; Sat: 10:00 AM - 2:00 PM,"41.4471316, -74.4205941"
Monroe/Orange County,Monroe Free Library,"44 Millpond Parkway, Monroe, NY 10950",845-783-4411,"Mon, Tues, Thurs: 9:30 AM - 8:00 PM; Wed: 12:00 PM - 8:00 PM; Fri: 9:30 AM - 5:00 PM; Sat: 9:30 AM - 4:00 PM; Sun: 10:00 AM - 3:00 PM","41.32761199999999, -74.18830899999999"
Otisville/Orange County,Mount Hope Senior Center,"11 Baker St, Otisville, NY 10963",845-386-2211,Mon - Sat: 8:00 AM - 4:00 PM,"41.4781792, -74.5291768"
Walden/Orange County,Municipal Center,"1 Municipal Sq, Walden, NY 12586",845-778-2177,Mon-Fri: 6:30 AM - 10:00 PM; Sat-Sun: Closed,"41.5597647, -74.189681"
Newburgh/Orange County,Newburgh Free Library,"124 Grand St, Newburgh, NY 12550",845-563-3600,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,"41.5034098, -74.0085764"
Port Jervis/Orange County,Port Jervis Free Library,"138 Pike St, Port Jervis, NY 12771",845-856-7313,"Mon,Tues,Thur: 10:00 AM - 9:00 PM; Wed, Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM","41.3762131, -74.6915412"
Port Jervis/Orange County,Port Jervis Youth/Community Center- 2nd Floor,"138 Pike St, Port Jervis, NY 12771",845-858-4000,Call for operating hours,"41.376126, -74.6917804"
Newburgh/Orange County,Recreation Department Activity Center,"399 Washington St, Newburgh, NY 12550",845-565-3230,Mon-Fri: 8:30 AM - 4:00 PM; Sat-Sun: Closed,"41.4989307, -74.0259586"
Greenwood Lake/Orange County,Village of Greenwood Lake Senior,"132 Windermere Ave, Greenwood Lake, NY 10925",845-477-8482,Tues - Fri: 10:30 AM - 2:30 PM; Sat - Mon: Closed,"41.2263858, -74.2900267"
Slate Hill/Orange County,Wawayanda Senior Citizens Building,"NY-284 Slate Hill, NY, NY 10973",845-355-3068,"Mon,Wed,Fri: 9:00 AM - 4:00 PM; Tues, Thurs: 9:00 AM - 10:00 PM","41.3774169, -74.4875943"
Holley/Orleans County,Community Free Library,"86 Public Square, Holley, NY 14470",(585) 638-6987,"Mon & Wed: 10:00 AM - 8:00 PM; Tues, Thurs, Fri: 10:00 AM - 5:00 PM; Sat & Sun: CLOSED","43.2254409, -78.025176"
Albion/Orleans County,Hoag Library,"134 South Main St, Albion, NY 14411",(585) 589-4246,Mon-Thurs: 10:00 AM-8:00 PM; Fri: 10:00 AM -5:00 PM; Sat: 10:00 AM -2:00 PM; Sun: Closed,"43.2436459, -78.194389"
Medina/Orleans County,Lee-Whedon Memorial Library,"620 West Ave, Medina, NY 14103",(585) 798-3430,Mon-Thurs: 10:00 AM -8:00 PM; Fri: 10:00 AM -5:00 PM; Sat: Closed (during summer); Sun: Closed,"43.21770859999999, -78.3895312"
Medina/Orleans County,Orleans County YMCA,"306 Pearl St, Medina, NY 14103",(585) 798-2040,Mon - Fri: 6:00 AM – 8:00 PM; Sat: 7:00 AM – 12:00 PM; Sun: CLOSED,"43.2222099, -78.3922405"
Lyndonville/Orleans County,Yates Community Library,"15 North Main Street, Lyndonville, NY 14098",(585) 765-9041,Mon –Tues: 10:00 AM -8:00 PM; Wed: Closed; Thurs: 10:00 AM -8:00 PM; Fri: 10:00 AM -5:00 PM; Sat & Sun: Closed; Wed 6/19: 12:00 PM - 5:00 PM,"43.3216276, -78.38927489999999"
Altmar/Oswego County,Albion Town Hall,"15 Bridge Street, Altmar, NY 13302",,Tues 6/18 - 6/21 Fri: 10:00 AM - 2:00 PM,"43.5100703, -76.00214199999999"
Lacona/Oswego County,Annie Porter Ainsworth Memorial Library,"6064 S Main S, Sandy Creek, NY 13145",315-387-3732,"Mon, Tues, Thurs, Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 1:00 PM","43.6437752, -76.0860512"
Oswego/Oswego County,Breitbeck Park,"91 Lake St, Oswego, NY 13126",3153428180,Mon-Sun: 11:00 AM - 8:00 PM,"43.4614735, -76.52389409999999"
Central Square/Oswego County,Central Square Library,"637 S Main St, Central Square, NY 13036",315-668-6104,Mon & Thurs: 10:00 AM - 6:00 PM; Tues & Wed: 10:00 AM - 4:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"43.2845227, -76.1457736"
Fulton/Oswego County,City of Fulton Municipal Building Community Room,"141 S 1st St, Fulton, NY 13069",,Tues 6/18 - Sat 6/22: 8:00 AM - 8:00 PM,"43.320881, -76.415561"
Oswego/Oswego County,Franklin Square Park,"40 block of West Seneca St, Oswego, NY 13126",,Wed 6/19 - Fri 6/21: 10:00 AM - Dusk,"43.45747799999999, -76.515222"
Fulton/Oswego County,Fulton Hulett Park Splash Pad,"609 Division St, Fulton, NY 13069",315-592-5201,Mon-Sun: 10:00 AM - 5:00 PM; Tues 6/18 - Sat 6/22: 11:00 AM - 7:30 PM,"43.3175787, -76.4044852"
Fulton/Oswego County,Fulton Library,"160 S 1st St, Fulton, NY 13069",315-592-5159,Mon & Fri: 9:00 AM - 5:00 PM; Tues - Thurs: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 1:00 PM,"43.319606, -76.4158834"
Hannibal/Oswego County,Hannibal Library,"162 Oswego St, Hannibal, NY 13074",315-564-5471,"Mon, Wed, Fri: 10:00 AM - 4:30 PM; Tues & Thurs: 10:00 AM - 8:00 PM; Sat: 9:00 AM - 3:00 PM","43.322239, -76.578554"
Oswego/Oswego County,Kingsford Park,"275 W 5th St, Oswego, NY 13126",,Wed 6/19 - Fri 6/21: 10:00 AM - Dusk,"43.4472798, -76.5104413"
Mexico/Oswego County,Mexico Library,"3269 Main St, Mexico, NY 13114",315-963-3012,"Mon & Wed: 9:00 AM - 7:00 PM; Tues, Thurs, Fri: 9:00 AM - 5:00 PM","43.4594439, -76.2295209"
Oswego/Oswego County,Oak Hill Park,"195 E 7th St, Oswego, NY 13126",952-924-2500,Mon-Sun: 10:00 AM - 9:00 PM,"43.45306009999999, -76.4971127"
Oswego/Oswego County,Oswego City Library,"120 E. First St., Oswego, NY 13126",315-341-5867,"Mon, Tues, Wed, Thurs: 9:00 Am-7:00 PM; Fri & Sat: 9:00 AM-5:00 PM; Sun: closed","43.4567577, -76.5063924"
Altmar/Oswego County,Parish Library,"3 Chruch St, Parish, NY 13131",315-625-7130,Mon: 11:00 AM - 5:00 PM; Tues: 3:00 PM - 7:00 PM; Wed: 11:00 AM - 5:00 PM; Thurs: 5:00 PM - 7:00 PM; Fri: Closed; Sat: 10:00 AM - 3:00 PM,"43.4061015, -76.12603829999999"
Pulaski/Oswego County,Pulaski Public Library,"4917 Jefferson St, Pulaski, NY 13142",518-298-2717,"Mon, Wed - Fri: 9:00 AM - 4:00 PM; Tues: 9:00 AM - 5:30 PM","43.57033149999999, -76.1258316"
Oswego/Oswego County,Scriba Town Park,"803 O'Connor Rd, Oswego, NY 13126",315-343-8107,Mon-Sun: 12:00 PM - 5:00 PM,"43.44485100000001, -76.4237179"
Cooperstown/Otsego County,3 - Mile Point,"6266 State Highway 80, Cooperstown, NY 13326",607-547-2411,Call for operating hours,"42.7414978, -74.9080891"
Richfield Springs/Otsego County,Baker's Beach,"8114 St Hwy 28, Richfield Springs, NY 13439",315-858-2043,Call for operating hours,"42.8279524, -75.0082201"
Edmeston/Otsego County,Edmeston Town Pool,"11 North Street, Edmeston, NY 13335",607-965-9823,Call for operating hours,"42.6990888, -75.24526259999999"
Cooperstown/Otsego County,Fairy Springs Park,"136 County Road 31, Cooperstown, NY 13326",607-547-2150,Call for operating hours,"42.7061274, -74.91358579999999"
Oneonta/Otsego County,FoxCare Center,"1 Foxcare Drive, Oneonta, NY 13820",607-432-2000,Call for operating hours,"42.4561394, -75.02915829999999"
New Lisbon/Otsego County,Gilbert Lake State Park,"18 CCC Road, Laurens, NY 13796",607-432-2114,Call for operating hours,"42.5900533, -75.1341064"
Cooperstown/Otsego County,Glimmerglass State Park,"1527 County Highway 31, Cooperstown, NY 13326",607-547-8662,Call for operating hours,"42.790245, -74.8646371"
Oneonta/Otsego County,Greater Plains Pool,"60 West End Ave, Oneonta, NY 13820",607-433-1370,Call for operating hours,"42.4578485, -75.0884213"
Otego/Otsego County,Otego Town Pool,"13 Parkway Dr., Otego, NY 13825",607-376-8978,Mon - Sun: 1:00 PM - 8:00 PM; 5:00 PM - 6:00 PM (Adult Swim); 6:00 PM - 8:00 PM (Family Swim); No Fee- Otego Residents Only,"42.399679, -75.17477699999999"
Oneonta/Otsego County,Southside Mall,"5006 St Hwy 23, Oneonta, NY 13820",607-432-4401,Call for operating hours,"42.4478598, -75.04498889999999"
Cooperstown/Otsego County,Springfield Landing,"469 Public Landing Road, Springfield, NY 13468",315-858-6424,Call for operating hours,"42.8067738, -74.8829896"
Oneonta/Otsego County,SUNY Oneonta A.J. Read Science Discovery Center,"108 Ravine Parkway (Physical Science Building), Oneonta, NY 13820",607-436-2011,Tues - Sat: 10:00 AM - 4:00 PM (Facility has AC and WiFi Access),"42.4692143, -75.0632511"
Hartwick Seminary/Otsego County,The Clark Sports Center,"124 County Highway 52, Cooperstown, NY 13326",607-547-2800,Call for operating hours,"42.6886111, -74.9241667"
Oneonta/Otsego County,Wilber Pool,"1 Wilber Park Dr, Oneonta, NY 13820",607-432-0010,Call for operating hours,"42.4640992, -75.05506559999999"
Worcester/Otsego County,Worcester Town Pool,"198 Main St, Worcester, NY 12197",607-397-8978,Call for operating hours,"42.591717, -74.7504996"
Brewster/Putnam County,Brewster Public Library,"79 Main St, Brewster, NY 10509",845-279-6421,Call for operating hours,"41.3942208, -73.6170181"
Philipstown/Putnam County,Desmond Fish Public Library,"472 Route 403, Garrison, NY 10524",845-424-3020,Call for operating hours.,"41.3764533, -73.9424243"
Cold Spring/Putnam County,Julia L. Butterfield Library,"10 Morris Avenue, Cold Spring, NY 10516",845-265-3040,Call for operating hours,"41.4207961, -73.95518969999999"
Lake Carmel/Putnam County,Kent Public Library,"17 Sybil’s Crossing, Kent Lakes, NY 10512",845-225-8585,Call for operating hours,"41.4792359, -73.6700385"
Mahopac/Putnam County,Mahopac Public Library,"668 Route 6, Mahopac, NY 10541",845-628-2009,Call for operating hours.,"41.3736806, -73.7304549"
Patterson/Putnam County,Patterson Library,"1167 Route 311, Patterson, NY 12563",845-878-6121,Call for operating hours,"41.5133112, -73.6023429"
Putnam Valley/Putnam County,Putnam Valley Library,"30 Oscawana Lake Road, Putnam Valley, NY 10579",845-528-3242,Call for operating hours,"41.3363369, -73.8740442"
Carmel Hamlet/Putnam County,Reed Memorial Library,"1733 Route 6, Carmel, NY 10512",845-225-2439,Call for operating hours,"41.4219501, -73.6780431"
Troy/Rensselaer County,7th Avenue Park,"2910 7th Avenue, Troy, NY 12180",518-235-7761,Mon - Sun: Sunrise-Sunset,"42.7458718, -73.68114039999999"
Schaghticoke/Rensselaer County,Arvilla E Diver Memorial Library,"136 Main Street, Schaghticoke, NY 12154",518-753-4344,Mon: 10:00 AM - 6:00 PM; Tues - Thurs: 1:00 PM - 6:00 PM; Sat: 10:00 AM - 1:00 PM; Fri & Sun: Closed,"42.8984771, -73.5859009"
Castleton-on-Hudson/Rensselaer County,Castleton Library,"85 South Main Street, Castleton-on-Hudson, NY 12033",518-732-0879,Mon-Wed: 12:00 PM - 8:00 PM; Thurs & Fri: 10:00 AM - 6:00 PM; Sat & Sun: 11:00 AM - 4:00 PM,"42.5274085, -73.75717159999999"
Hoosick Falls/Rensselaer County,Cheney Library,"73 Classic Street, Hoosick Falls, NY 12090",518-686-9401,Mon: 1:00 PM - 8:00 PM; Tues: 10:00 AM - 5:00 PM; Wed: 1:00 PM - 8:00 PM; Thurs: 10:00 AM - 8:00 PM; Fri: 11:00 AM - 5:00 PM; Sat: 10:00 AM - 1:00 PM; Sun: Closed,"42.9016773, -73.3490094"
Troy/Rensselaer County,Corliss Park Splash Pad,"1450 Corliss Park, Troy, NY 12180",518-235-7761,Mon - Sun: Sunrise to Sunset,"42.7887345, -73.66394600000001"
East Greenbush/Rensselaer County,East Greenbush Library,"10 Community Way, East Greenbush, NY 12061",518-477-7476,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,"42.619124, -73.695531"
Cropseyville/Rensselaer County,Eastern Area Senior Service Center,"2 Roxborough Rd, Cropseyville, NY 12052",518-279-3413,Mon - Fri: 9:00 AM - 3:00 PM; Sat & Sun: Closed,"42.7693229, -73.4492099"
Troy/Rensselaer County,Frear Park Splash Pad,"1809 Frear Park Road, Troy, NY 12180",518-235-7761,Mon - Sun: Sunrise to Sunset,"42.7511714, -73.66873629999999"
Cropseyville/Rensselaer County,Grafton Library,"2455 Rt. 2, Grafton, NY 12082",518-279-0580,"Mon, Tues, Thurs, Fri: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 1:00 PM; Sat: 10:00 AM - 1:00 PM; Sun: Closed","42.76906, -73.45307"
Troy/Rensselaer County,Historic Market in Little Italy,"5th Ave, Liberty and Hill St, Troy, NY 12180",518-270-4471,June 18th-21st: 2:00PM - 7:00PM,"42.722023, -73.689155"
Troy/Rensselaer County,Lansingburgh Boys and Girls Club,"501 Fourth Ave, Troy, NY 12182",518-270-4471,June 18th-21st: 2:00PM - 7:00PM,"42.7720243, -73.6761576"
Nassau/Rensselaer County,Nassau Library,"18 Church Street, Nassau, NY 12123",518-766-2715,Mon & Fri: 12:00 PM - 6:00 PM; Tues & Thurs: 12:00 PM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 12:00 PM; Sun: Closed,"42.5152718, -73.6081416"
